API Typ,tadir_object,tadir_obj_name,object_type,object_key,software_component,application_component,state,successor_classification,successor_concept_name,successor_tadir_object,successor_tadir_obj_name,successor_object_type,successor_object_name,api_catalog
TIER1,DOMA,DATS,DOMA,DATS,SAP_BASIS,BC-CCM-ADK,DEPRECATED,N,,DOMA,XSDDATE_D,DOMA,XSDDATE_D
TIER1,DOMA,TEXT1,DOMA,TEXT1,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,TEXT10,DOMA,TEXT10,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,TEXT100,DOMA,TEXT100,SAP_BASIS,BC-DWB-DIC-AC,DEPRECATED,0,
TIER1,DOMA,TEXT11,DOMA,TEXT11,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,TEXT12,DOMA,TEXT12,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,TEXT120,DOMA,TEXT120,SAP_BASIS,BC-ABA-LA,DEPRECATED,0,
TIER1,DOMA,TEXT128,DOMA,TEXT128,SAP_BASIS,BC-CCM-BTC,DEPRECATED,0,
TIER1,DOMA,TEXT132,DOMA,TEXT132,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,TEXT140,DOMA,TEXT140,SAP_BASIS,BC-SRV-ADR,DEPRECATED,0,
TIER1,DOMA,TEXT15,DOMA,TEXT15,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,TEXT16,DOMA,TEXT16,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,TEXT17,DOMA,TEXT17,SAP_BASIS,BC-BMT-WFM,DEPRECATED,0,
TIER1,DOMA,TEXT18,DOMA,TEXT18,SAP_BASIS,BC-CCM-MON-SLG,DEPRECATED,0,
TIER1,DOMA,TEXT2,DOMA,TEXT2,SAP_BASIS,BC-CCM-MON-TUN,DEPRECATED,0,
TIER1,DOMA,TEXT20,DOMA,TEXT20,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,TEXT240,DOMA,TEXT240,SAP_BASIS,BC-CTS-LAN,DEPRECATED,0,
TIER1,DOMA,TEXT25,DOMA,TEXT25,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,TEXT255,DOMA,TEXT255,SAP_BASIS,BC-CTS-LAN,DEPRECATED,0,
TIER1,DOMA,TEXT27,DOMA,TEXT27,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,TEXT3,DOMA,TEXT3,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,TEXT30,DOMA,TEXT30,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,TEXT32,DOMA,TEXT32,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,TEXT34,DOMA,TEXT34,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,TEXT35,DOMA,TEXT35,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,TEXT4,DOMA,TEXT4,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
TIER1,DOMA,TEXT42,DOMA,TEXT42,SAP_BASIS,BC-CCM-MON-SLG,DEPRECATED,0,
TIER1,DOMA,TEXT45,DOMA,TEXT45,SAP_BASIS,BC-ABA-TO,DEPRECATED,0,
TIER1,DOMA,TEXT47,DOMA,TEXT47,SAP_BASIS,BC-CCM-MON-SLG,DEPRECATED,0,
TIER1,DOMA,TEXT5,DOMA,TEXT5,SAP_BASIS,BC-DWB-TOO,DEPRECATED,0,
